img,joints,cartesians,yolo_midpoint,our_midpoint,class
img18.png,"[57.6, 39.14, 43.96, -33.99, -86.38, 93.91]","[[146.08, 305.15, 210.68], [0.01, 0.009, -0.694, -0.72]]","[528.414, 210.036]","[540.912, 238.981]",1.0
img18.png,"[122.39, 41.76, 41.49, 30.9, -86.31, 86.59]","[[-154.49, 312.45, 202.39], [0.01, 0.009, -0.694, -0.72]]","[316.117, 219.042]","[318.834, 248.071]",0.0
img19.png,"[123.66, 40.95, 44.69, 32.11, -88.41, 87.74]","[[-151.42, 296.42, 200.77], [0.01, 0.009, -0.694, -0.72]]","[316.739, 218.836]","[320.133, 246.773]",0.0
img19.png,"[117.2, 4.96, 47.61, 30.4, -58.78, 72.13]","[[-121.9, 305.4, 364.38], [0.01, 0.009, -0.694, -0.72]]","[340.913, 97.012]","[342.211, 124.695]",1.0
img20.png,"[122.2, 41.28, 43.06, 30.68, -87.25, 87.17]","[[-149.83, 306.79, 201.93], [0.01, 0.009, -0.694, -0.72]]","[316.163, 219.54]","[319.971, 248.154]",0.0
img20.png,"[141.32, 51.37, 19.71, 50.8, -79.95, 75.49]","[[-294.71, 306.36, 198.22], [0.01, 0.009, -0.694, -0.72]]","[208.992, 221.253]","[210.268, 255.216]",1.0
img21.png,"[45.7, 43.15, 34.18, -46.2, -83.29, 99.17]","[[220.97, 300.37, 210.34], [0.01, 0.009, -0.694, -0.72]]","[570.814, 210.565]","[588.814, 237.796]",1.0
img21.png,"[120.05, 4.23, 48.91, 33.35, -60.18, 70.78]","[[-130.66, 294.44, 362.25], [0.01, 0.009, -0.694, -0.72]]","[338.745, 97.557]","[341.629, 127.151]",0.0
img22.png,"[119.4, 4.95, 47.75, 32.79, -59.59, 70.88]","[[-130.54, 300.18, 363.85], [0.01, 0.009, -0.694, -0.72]]","[338.973, 97.57]","[341.629, 126.68]",0.0
img22.png,"[45.73, 12.79, 37.63, -51.98, -65.45, 120.21]","[[211.77, 291.12, 367.8], [0.01, 0.009, -0.694, -0.72]]","[581.205, 92.957]","[604.822, 120.089]",1.0
img23.png,"[46.01, 13.04, 37.17, -51.79, -65.18, 120.27]","[[211.98, 293.51, 368.45], [0.01, 0.009, -0.694, -0.72]]","[588.835, 94.8]","[603.409, 121.03]",1.0
img23.png,"[66.41, 3.15, 49.29, -29.84, -58.51, 107.72]","[[99.86, 305.08, 365.52], [0.01, 0.009, -0.694, -0.72]]","[508.818, 95.492]","[527.135, 122.914]",0.0
img24.png,"[143.81, 53.09, 15.24, 53.64, -78.95, 72.74]","[[-318.67, 303.65, 200.02], [0.01, 0.009, -0.694, -0.72]]","[191.355, 220.659]","[193.789, 251.92]",1.0
img24.png,"[144.58, 30.08, 16.03, 60.15, -67.04, 53.06]","[[-323.97, 300.92, 357.2], [0.01, 0.009, -0.694, -0.72]]","[181.021, 97.292]","[180.606, 124.797]",0.0
img25.png,"[61.9, 39.28, 43.87, -29.69, -86.16, 93.44]","[[128.28, 315.78, 210.13], [0.01, 0.009, -0.694, -0.72]]","[506.252, 209.726]","[521.485, 237.325]",0.0
img25.png,"[144.95, 52.56, 16.56, 54.63, -79.75, 73.15]","[[-319.08, 294.41, 199.54], [0.01, 0.009, -0.694, -0.72]]","[192.714, 220.824]","[191.435, 253.333]",1.0
img26.png,"[51.81, 43.35, 33.43, -40.17, -81.95, 98.54]","[[197.51, 325.45, 211.02], [0.01, 0.009, -0.694, -0.72]]","[552.69, 210.219]","[567.626, 234.5]",0.0
img26.png,"[77.94, 38.12, 48.33, -13.6, -88.66, 90.88]","[[51.4, 321.52, 207.99], [0.01, 0.009, -0.694, -0.72]]","[458.675, 210.644]","[465.457, 234.5]",1.0
img27.png,"[119.3, 40.83, 43.05, 27.79, -86.69, 87.2]","[[-138.14, 314.65, 204.13], [0.01, 0.009, -0.694, -0.72]]","[328.433, 217.062]","[330.329, 243.916]",2.0
img27.png,"[50.56, 42.49, 34.65, -41.38, -82.41, 98.52]","[[199.99, 317.37, 212.91], [0.01, 0.009, -0.694, -0.72]]","[551.737, 209.103]","[565.743, 234.5]",0.0
img28.png,"[84.99, 36.23, 53.85, -6.55, -92.19, 90.04]","[[18.09, 300.2, 208.35], [0.01, 0.009, -0.694, -0.72]]","[449.651, 220.331]","[451.332, 245.8]",2.0
img28.png,"[113.98, 38.66, 49.14, 22.43, -90.08, 89.22]","[[-103.63, 300.53, 204.4], [0.01, 0.009, -0.694, -0.72]]","[354.071, 223.898]","[358.579, 250.037]",0.0
img29.png,"[47.65, 43.89, 32.1, -44.38, -82.03, 99.81]","[[219.17, 314.51, 211.14], [0.01, 0.009, -0.694, -0.72]]","[568.309, 207.762]","[584.105, 234.5]",2.0
img29.png,"[85.74, -1.29, 54.09, -7.06, -55.12, 94.32]","[[15.3, 303.55, 364.34], [0.01, 0.009, -0.694, -0.72]]","[456.306, 94.315]","[459.807, 121.972]",0.0
img30.png,"[116.91, -0.14, 52.74, 30.07, -58.72, 72.32]","[[-109.8, 284.5, 365.27], [0.01, 0.009, -0.694, -0.72]]","[354.923, 96.087]","[359.991, 125.738]",2.0
img30.png,"[84.81, -6.41, 58.42, -8.28, -54.42, 95.14]","[[17.14, 281.98, 366.04], [0.01, 0.009, -0.694, -0.72]]","[459.703, 95.565]","[464.044, 123.384]",0.0
img31.png,"[44.56, 13.84, 35.76, -53.38, -65.55, 121.42]","[[221.55, 291.97, 370.19], [0.01, 0.009, -0.694, -0.72]]","[588.601, 95.257]","[619.888, 123.384]",2.0
img31.png,"[85.06, -3.46, 55.32, -7.98, -54.25, 94.97]","[[17.46, 296.37, 367.84], [0.01, 0.009, -0.694, -0.72]]","[465.335, 92.946]","[462.632, 122.443]",0.0
img32.png,"[134.9, 44.35, 35.76, 43.53, -84.92, 83.25]","[[-220.43, 291.22, 200.25], [0.01, 0.009, -0.694, -0.72]]","[268.121, 219.768]","[270.534, 250.508]",0.0
img32.png,"[44.9, 14.45, 34.84, -53.18, -65.18, 121.56]","[[222.89, 296.0, 370.88], [0.01, 0.009, -0.694, -0.72]]","[588.968, 95.165]","[620.83, 120.089]",2.0
img32.png,"[145.54, 27.99, 18.46, 60.84, -67.79, 53.03]","[[-319.8, 290.08, 360.41], [0.01, 0.009, -0.694, -0.72]]","[180.848, 96.992]","[178.722, 129.034]",1.0
img33.png,"[85.23, 0.11, 52.3, -7.72, -54.79, 94.76]","[[18.03, 311.3, 366.01], [0.01, 0.009, -0.694, -0.72]]","[456.802, 94.499]","[456.982, 121.972]",1.0
img33.png,"[59.84, 40.18, 40.34, -31.87, -84.05, 95.04]","[[145.24, 325.24, 212.57], [0.01, 0.009, -0.694, -0.72]]","[515.741, 209.497]","[529.019, 237.325]",2.0
img33.png,"[45.4, 16.73, 32.32, -52.79, -64.78, 121.54]","[[228.73, 305.86, 368.98], [0.01, 0.009, -0.694, -0.72]]","[589.264, 96.422]","[617.534, 117.264]",0.0
img34.png,"[121.99, 0.41, 52.25, 35.6, -60.44, 69.36]","[[-129.46, 276.12, 365.0], [0.01, 0.009, -0.694, -0.72]]","[335.47, 96.487]","[338.804, 125.738]",1.0
img34.png,"[75.01, -2.16, 54.58, -19.99, -56.29, 102.09]","[[57.44, 293.59, 365.79], [0.01, 0.009, -0.694, -0.72]]","[477.359, 93.896]","[488.057, 122.443]",0.0
img35.png,"[75.18, -3.43, 55.96, -19.77, -56.35, 101.93]","[[55.14, 287.63, 365.08], [0.01, 0.009, -0.694, -0.72]]","[478.918, 96.221]","[489.469, 122.914]",0.0
img35.png,"[44.58, 43.41, 33.26, -47.37, -83.03, 99.82]","[[228.31, 298.84, 211.03], [0.01, 0.009, -0.694, -0.72]]","[574.77, 209.925]","[591.639, 235.441]",1.0
img36.png,"[43.96, 43.11, 33.38, -48.01, -83.01, 100.06]","[[230.67, 296.21, 212.47], [0.01, 0.009, -0.694, -0.72]]","[574.115, 209.936]","[592.58, 236.854]",1.0
img36.png,"[43.34, 13.45, 35.8, -54.64, -65.99, 122.24]","[[225.68, 286.72, 372.15], [0.01, 0.009, -0.694, -0.72]]","[588.776, 94.751]","[614.238, 122.443]",0.0
img37.png,"[65.58, 37.43, 50.37, -25.94, -90.14, 91.01]","[[99.6, 295.58, 207.95], [0.01, 0.009, -0.694, -0.72]]","[490.906, 213.076]","[505.477, 239.208]",0.0
img37.png,"[45.33, 43.08, 33.45, -46.65, -82.8, 99.81]","[[225.05, 301.5, 212.47], [0.01, 0.009, -0.694, -0.72]]","[578.204, 210.775]","[592.58, 235.912]",1.0
img38.png,"[66.63, 37.23, 48.37, -24.9, -88.11, 91.91]","[[99.75, 307.24, 211.91], [0.01, 0.009, -0.694, -0.72]]","[493.13, 212.656]","[505.477, 239.679]",0.0
img38.png,"[117.15, 39.86, 46.33, 25.61, -88.68, 88.41]","[[-121.92, 305.89, 203.2], [0.01, 0.009, -0.694, -0.72]]","[339.92, 217.692]","[343.512, 248.154]",1.0
img39.png,"[134.07, 17.35, 33.39, 48.71, -64.05, 61.64]","[[-228.59, 306.03, 360.83], [0.01, 0.009, -0.694, -0.72]]","[262.342, 98.007]","[261.588, 128.563]",2.0
img40.png,"[62.76, 1.49, 50.73, -33.94, -59.51, 110.07]","[[111.28, 291.85, 366.72], [0.01, 0.009, -0.694, -0.72]]","[519.796, 92.939]","[531.373, 122.443]",2.0
img41.png,"[117.24, 2.55, 50.06, 30.43, -58.84, 72.13]","[[-116.81, 295.09, 364.93], [0.01, 0.009, -0.694, -0.72]]","[338.594, 97.451]","[350.003, 125.994]",2.0
img42.png,"[133.97, 17.5, 32.97, 48.7, -63.83, 61.47]","[[-229.21, 307.55, 361.76], [0.01, 0.009, -0.694, -0.72]]","[261.772, 97.851]","[262.53, 128.563]",2.0
img43.png,"[132.22, 43.65, 37.17, 40.83, -85.14, 84.06]","[[-206.02, 296.8, 201.07], [0.01, 0.009, -0.694, -0.72]]","[277.585, 218.349]","[279.009, 253.333]",2.0
img44.png,"[82.89, -6.77, 58.79, -10.62, -54.61, 96.57]","[[23.96, 279.5, 365.79], [0.01, 0.009, -0.694, -0.72]]","[464.412, 93.006]","[467.34, 124.326]",0.0
img44.png,"[134.47, 43.08, 38.77, 43.01, -86.14, 84.5]","[[-209.64, 283.54, 200.81], [0.01, 0.009, -0.694, -0.72]]","[277.262, 218.212]","[279.009, 253.333]",2.0
img45.png,"[132.92, 43.33, 36.95, 41.56, -84.81, 83.62]","[[-209.81, 295.48, 203.19], [0.01, 0.009, -0.694, -0.72]]","[278.194, 219.744]","[277.596, 253.333]",2.0
img45.png,"[84.61, -3.55, 55.44, -8.53, -54.32, 95.31]","[[19.17, 295.68, 367.71], [0.01, 0.009, -0.694, -0.72]]","[461.281, 94.287]","[464.986, 121.972]",0.0
img46.png,"[120.0, 7.22, 45.22, 33.52, -59.57, 70.36]","[[-138.67, 308.82, 363.79], [0.01, 0.009, -0.694, -0.72]]","[332.938, 97.278]","[336.45, 126.68]",0.0
img46.png,"[130.37, 44.81, 32.88, 39.19, -82.52, 82.31]","[[-211.18, 318.09, 204.07], [0.01, 0.009, -0.694, -0.72]]","[280.898, 219.271]","[281.363, 252.391]",2.0
img46.png,"[85.27, -5.36, 56.97, -7.75, -53.97, 94.86]","[[15.98, 288.39, 368.26], [0.01, 0.009, -0.694, -0.72]]","[457.886, 95.044]","[461.69, 122.914]",1.0
img47.png,"[144.66, 29.93, 15.44, 60.48, -66.73, 52.34]","[[-325.52, 301.4, 360.88], [0.01, 0.009, -0.694, -0.72]]","[181.09, 96.065]","[178.722, 127.622]",1.0
img48.png,"[145.02, 29.9, 15.38, 60.82, -66.9, 52.12]","[[-327.09, 299.43, 361.37], [0.01, 0.009, -0.694, -0.72]]","[178.354, 98.687]","[178.252, 129.505]",2.0
img49.png,"[144.0, 30.94, 14.35, 59.94, -66.29, 52.52]","[[-326.36, 307.65, 358.82], [0.01, 0.009, -0.694, -0.72]]","[181.523, 97.002]","[179.193, 126.209]",0.0
img50.png,"[133.75, 18.57, 32.68, 48.2, -64.24, 62.22]","[[-229.85, 310.03, 356.86], [0.01, 0.009, -0.694, -0.72]]","[262.114, 97.008]","[264.884, 128.093]",1.0
img51.png,"[133.11, 17.66, 33.27, 47.69, -63.73, 62.26]","[[-225.11, 310.35, 359.54], [0.01, 0.009, -0.694, -0.72]]","[262.516, 98.371]","[262.059, 125.738]",0.0
img52.png,"[132.2, 16.18, 34.74, 46.8, -63.3, 62.68]","[[-216.86, 308.93, 361.66], [0.01, 0.009, -0.694, -0.72]]","[268.634, 100.771]","[272.417, 129.505]",2.0
img53.png,"[113.98, 3.52, 49.06, 26.78, -57.85, 74.15]","[[-105.84, 305.56, 364.83], [0.01, 0.009, -0.694, -0.72]]","[355.664, 95.899]","[359.991, 124.797]",0.0
img54.png,"[115.9, 2.22, 50.48, 28.91, -58.51, 73.01]","[[-110.77, 296.04, 364.64], [0.01, 0.009, -0.694, -0.72]]","[354.126, 96.781]","[358.579, 125.268]",1.0
img55.png,"[117.01, 3.04, 49.64, 30.16, -58.82, 72.31]","[[-116.86, 297.41, 364.56], [0.01, 0.009, -0.694, -0.72]]","[355.732, 97.222]","[357.166, 124.326]",2.0
img56.png,"[144.73, 53.54, 13.83, 54.69, -78.67, 71.74]","[[-326.85, 301.71, 201.29], [0.01, 0.009, -0.694, -0.72]]","[186.746, 225.489]","[184.372, 256.158]",0.0
img57.png,"[143.3, 54.32, 12.1, 53.47, -77.67, 71.3]","[[-326.07, 313.51, 201.32], [0.01, 0.009, -0.694, -0.72]]","[187.111, 224.677]","[185.785, 252.862]",1.0
img58.png,"[143.21, 53.88, 12.56, 53.37, -77.64, 71.33]","[[-324.63, 313.28, 202.97], [0.01, 0.009, -0.694, -0.72]]","[187.931, 224.237]","[185.314, 257.57]",2.0
img59.png,"[130.54, 45.45, 32.33, 39.36, -82.62, 82.34]","[[-213.02, 318.71, 201.7], [0.01, 0.009, -0.694, -0.72]]","[276.167, 221.742]","[278.538, 250.979]",0.0
img60.png,"[131.87, 43.61, 36.65, 40.51, -84.69, 83.74]","[[-206.37, 300.01, 202.32], [0.01, 0.009, -0.694, -0.72]]","[275.59, 220.196]","[278.067, 248.625]",1.0
img61.png,"[132.6, 42.93, 38.71, 41.16, -85.81, 84.56]","[[-203.01, 290.59, 201.72], [0.01, 0.009, -0.694, -0.72]]","[277.31, 218.441]","[279.009, 251.92]",2.0
img62.png,"[144.57, 28.01, 18.75, 59.9, -67.36, 53.67]","[[-315.38, 294.92, 359.02], [0.01, 0.009, -0.694, -0.72]]","[181.636, 96.594]","[183.901, 129.505]",2.0
img62.png,"[60.22, 41.55, 37.4, -31.59, -82.68, 95.82]","[[149.88, 337.21, 211.71], [0.01, 0.009, -0.694, -0.72]]","[514.52, 206.428]","[528.077, 232.616]",0.0
img62.png,"[70.45, 5.42, 46.64, -25.38, -57.03, 105.35]","[[87.22, 322.96, 366.31], [0.01, 0.009, -0.694, -0.72]]","[487.067, 94.072]","[501.24, 122.914]",1.0
img63.png,"[115.85, 3.35, 49.32, 28.86, -58.46, 73.02]","[[-112.93, 301.04, 364.5], [0.01, 0.009, -0.694, -0.72]]","[351.985, 96.299]","[356.695, 125.738]",1.0
img63.png,"[145.58, 27.3, 19.81, 60.65, -68.14, 53.64]","[[-315.97, 287.07, 358.95], [0.01, 0.009, -0.694, -0.72]]","[182.071, 98.001]","[182.96, 129.976]",2.0
img63.png,"[57.18, 39.74, 43.07, -34.42, -86.18, 94.11]","[[149.72, 307.11, 209.42], [0.01, 0.009, -0.694, -0.72]]","[514.44, 206.19]","[529.019, 232.146]",0.0
img64.png,"[43.78, 43.01, 33.93, -48.14, -83.34, 99.75]","[[229.54, 293.75, 211.68], [0.01, 0.009, -0.694, -0.72]]","[576.639, 210.323]","[595.405, 238.266]",0.0
img64.png,"[85.14, 37.09, 51.73, -6.39, -90.93, 90.18]","[[18.31, 310.1, 207.54], [0.01, 0.009, -0.694, -0.72]]","[446.066, 216.146]","[445.682, 244.387]",2.0
img64.png,"[45.94, 13.43, 36.38, -52.0, -64.96, 120.64]","[[214.39, 295.49, 369.74], [0.01, 0.009, -0.694, -0.72]]","[585.159, 93.708]","[607.176, 121.03]",1.0
img65.png,"[132.96, 15.99, 35.23, 47.43, -63.85, 62.56]","[[-218.69, 304.73, 360.61], [0.01, 0.009, -0.694, -0.72]]","[270.515, 97.515]","[270.782, 131.188]",0.0
img65.png,"[120.09, 40.46, 44.59, 28.55, -87.76, 87.69]","[[-137.8, 306.43, 203.27], [0.01, 0.009, -0.694, -0.72]]","[329.905, 218.552]","[330.523, 246.773]",1.0
img65.png,"[143.49, 50.77, 20.14, 52.95, -80.41, 74.92]","[[-302.57, 294.49, 200.9], [0.01, 0.009, -0.694, -0.72]]","[209.287, 222.248]","[208.445, 250.669]",2.0
img66.png,"[117.79, 39.54, 46.53, 26.24, -88.59, 88.32]","[[-124.28, 304.08, 204.36], [0.01, 0.009, -0.694, -0.72]]","[337.951, 218.872]","[338.315, 248.071]",1.0
img66.png,"[134.49, 46.49, 30.7, 43.35, -82.74, 81.29]","[[-233.91, 308.07, 199.6], [0.01, 0.009, -0.694, -0.72]]","[259.16, 223.342]","[264.289, 255.864]",2.0
img66.png,"[124.33, 5.86, 46.81, 38.1, -61.31, 68.07]","[[-152.13, 291.88, 363.53], [0.01, 0.009, -0.694, -0.72]]","[318.919, 98.017]","[322.731, 129.89]",0.0
img67.png,"[140.64, 50.52, 20.75, 50.1, -79.91, 75.78]","[[-289.28, 307.66, 200.81], [0.01, 0.009, -0.694, -0.72]]","[219.072, 222.83]","[218.834, 255.864]",0.0
img67.png,"[126.89, 41.74, 40.73, 35.42, -85.97, 85.7]","[[-175.23, 302.84, 203.87], [0.01, 0.009, -0.694, -0.72]]","[299.305, 220.09]","[300.653, 246.773]",1.0
img67.png,"[141.88, 27.07, 19.96, 57.42, -65.93, 54.98]","[[-300.84, 306.48, 359.8], [0.01, 0.009, -0.694, -0.72]]","[202.253, 98.099]","[209.744, 131.188]",2.0
